First_Name,Last_Name,Address,Email,DOB,Ethnicity,Education,Age
Ezekiel,Chui,2 Cedar Ave #84,ezekiel@chui.com,1996-01-20,White,Master's,25
Willow,Kusko,90991 Thorburn Ave,wkusko@yahoo.com,1974-07-02,Native American,Bachelor's,47
Bernardo,Figeroa,386 9th Ave N,bfigeroa@aol.com,1963-10-29,Unknown,Bachelor's,58
Ammie,Corrio,74874 Atlantic Ave,ammie@corrio.com,1964-01-01,White,Master's,57
Francine,Vocelka,366 South Dr,francine_vocelka@vocelka.com,1969-12-23,Native American,High School,52
Ernie,Stenseth,45 E Liberty St,ernie_stenseth@aol.com,1978-02-20,Unknown,Associate,43
Albina,Glick,4 Ralph Ct,albina@glick.com,1983-01-14,White,High School,38
Alishia,Sergi,2742 Distribution Way,asergi@gmail.com,1977-03-14,Native American,Bachelor's,44
Solange,Shinko,426 Wolf St,solange@shinko.com,1986-11-23,White,Associate,35
Jose,Stockham,128 Bransten Rd,jose@yahoo.com,1984-09-15,Black,Bachelor's,37
Rozella,Ostrosky,17 Morena Blvd,rozella.ostrosky@ostrosky.com,1976-12-10,Asian,High School,45
Valentine,Gillian,775 W 17th St,valentine_gillian@gmail.com,1985-05-24,Black,Associate,36
Kati,Rulapaugh,6980 Dorsett Rd,kati.rulapaugh@hotmail.com,1981-02-25,Unknown,Doctorate,40
Youlanda,Schemmer,2881 Lewis Rd,youlanda@aol.com,1986-06-23,Asian,Master's,35
Dyan,Oldroyd,7219 Woodfield Rd,doldroyd@aol.com,1991-02-27,Black,Associate,30
Roxane,Campain,1048 Main St,roxane@hotmail.com,1999-12-30,Asian,Bachelor's,22
Lavera,Perin,678 3rd Ave,lperin@perin.org,1994-06-17,Black,Doctorate,27
Erick,Ferencz,20 S Babcock St,erick.ferencz@aol.com,1963-11-18,Unknown,Doctorate,58
Fatima,Saylors,2 Lighthouse Ave,fsaylors@saylors.org,1966-01-23,Black,High School,55
Jina,Briddick,38938 Park Blvd,jina_briddick@briddick.com,1972-01-22,Asian,Doctorate,49
Kanisha,Waycott,5 Tomahawk Dr,kanisha_waycott@yahoo.com,1987-03-11,Asian,Master's,34
Emerson,Bowley,762 S Main St,emerson.bowley@bowley.org,1965-05-02,Unknown,High School,56
Blair,Malet,209 Decker Dr,bmalet@yahoo.com,1968-04-16,Unknown,High School,53
Brock,Bolognia,4486 W O St #1,bbolognia@yahoo.com,1968-07-10,Asian,Master's,53
Lorrie,Nestle,39 S 7th St,lnestle@hotmail.com,2002-03-12,Native American,Associate,19
Sabra,Uyetake,98839 Hawthorne Blvd #6101,sabra@uyetake.org,1998-07-21,Unknown,High School,23
Marjory,Mastella,71 San Mateo Ave,mmastella@mastella.com,1981-09-19,Unknown,Doctorate,40
Karl,Klonowski,76 Brooks St #9,karl_klonowski@yahoo.com,2002-01-21,Asian,Bachelor's,19
Tonette,Wenner,4545 Courthouse Rd,twenner@aol.com,1970-08-27,Unknown,High School,51
Amber,Monarrez,14288 Foster Ave #4121,amber_monarrez@monarrez.org,1969-02-23,Unknown,High School,52
Shenika,Seewald,4 Otis St,shenika@gmail.com,2001-09-10,Unknown,High School,20
Delmy,Ahle,65895 S 16th St,delmy.ahle@hotmail.com,1996-09-19,Unknown,Bachelor's,25
Deeanna,Juhas,14302 Pennsylvania Ave,deeanna_juhas@gmail.com,1976-07-12,Asian,Associate,45
Blondell,Pugh,201 Hawk Ct,bpugh@aol.com,1989-12-20,Black,Bachelor's,32
Jamal,Vanausdal,53075 Sw 152nd Ter #615,jamal@vanausdal.org,1996-10-16,Black,Doctorate,25
Cecily,Hollack,59 N Groesbeck Hwy,cecily@hollack.org,1970-02-25,White,Doctorate,51
Carmelina,Lindall,2664 Lewis Rd,carmelina_lindall@lindall.com,1974-04-29,Asian,Doctorate,47
Maurine,Yglesias,59 Shady Ln #53,maurine_yglesias@yglesias.com,1999-03-27,Native American,Master's,22
Tawna,Buvens,3305 Nabell Ave #679,tawna@gmail.com,1997-09-29,White,Doctorate,24
Penney,Weight,18 Fountain St,penney_weight@aol.com,1994-02-06,Unknown,Associate,27
Elly,Morocco,7 W 32nd St,elly_morocco@gmail.com,1990-05-29,White,High School,31
Ilene,Eroman,2853 S Central Expy,ilene.eroman@hotmail.com,1978-06-03,White,High School,43
Vallie,Mondella,74 W College St,vmondella@mondella.com,1976-04-30,Unknown,Associate,45
Kallie,Blackwood,701 S Harrison Rd,kallie.blackwood@gmail.com,1962-11-15,Asian,High School,59
Johnetta,Abdallah,1088 Pinehurst St,johnetta_abdallah@aol.com,2000-06-06,Native American,Doctorate,21
Bobbye,Rhym,30 W 80th St #1995,brhym@rhym.com,1991-11-29,Black,Doctorate,30
Micaela,Rhymes,20932 Hedley St,micaela_rhymes@gmail.com,1966-07-12,White,Doctorate,55
Tamar,Hoogland,2737 Pistorio Rd #9230,tamar@hotmail.com,1968-09-17,Asian,High School,53
Moon,Parlato,74989 Brandon St,moon@yahoo.com,1962-10-05,Asian,Master's,59
Laurel,Reitler,6 Kains Ave,laurel_reitler@reitler.com,1965-05-27,Native American,Associate,56
Delisa,Crupi,47565 W Grand Ave,delisa.crupi@crupi.com,1964-03-03,Asian,Associate,57
Viva,Toelkes,4284 Dorigo Ln,viva.toelkes@gmail.com,1987-06-23,Unknown,Master's,34
Elza,Lipke,6794 Lake Dr E,elza@yahoo.com,1995-10-07,Asian,High School,26
Devorah,Chickering,31 Douglas Blvd #950,devorah@hotmail.com,1966-11-20,Asian,Master's,55
Timothy,Mulqueen,44 W 4th St,timothy_mulqueen@mulqueen.org,1988-06-01,Asian,Associate,33
Arlette,Honeywell,11279 Loytan St,ahoneywell@honeywell.com,1996-06-22,Unknown,Bachelor's,25
Dominque,Dickerson,69 Marquette Ave,dominque.dickerson@dickerson.org,2000-05-13,White,High School,21
Lettie,Isenhower,70 W Main St,lettie_isenhower@yahoo.com,1970-02-28,Black,High School,51
Myra,Munns,461 Prospect Pl #316,mmunns@cox.net,1997-02-23,Asian,Associate,24
Stephaine,Barfield,47154 Whipple Ave Nw,stephaine@barfield.com,1984-12-18,Unknown,Master's,37
Lai,Gato,37 Alabama Ave,lai.gato@gato.org,1998-05-24,Asian,Master's,23
Stephen,Emigh,3777 E Richmond St #900,stephen_emigh@hotmail.com,1993-04-08,Unknown,Doctorate,28
Tyra,Shields,3 Fort Worth Ave,tshields@gmail.com,1996-05-15,Asian,Doctorate,25
Tammara,Wardrip,4800 Black Horse Pike,twardrip@cox.net,1988-02-07,Black,Associate,33
Cory,Gibes,83649 W Belmont Ave,cory.gibes@gmail.com,2000-12-19,Asian,High School,21
Danica,Bruschke,840 15th Ave,danica_bruschke@gmail.com,1970-11-09,Asian,Doctorate,51
Wilda,Giguere,1747 Calle Amanecer #2,wilda@cox.net,1970-10-05,Black,Bachelor's,51
Elvera,Benimadho,99385 Charity St #840,elvera.benimadho@cox.net,1986-04-12,Unknown,Associate,35
Carma,Vanheusen,68556 Central Hwy,carma@cox.net,1969-07-14,Black,Doctorate,52
Malinda,Hochard,55 Riverside Ave,malinda.hochard@yahoo.com,1984-10-19,Black,Bachelor's,37
Natalie,Fern,7140 University Ave,natalie.fern@hotmail.com,1973-07-29,White,Bachelor's,48
Lisha,Centini,64 5th Ave #1153,lisha@centini.org,1970-03-19,Black,Doctorate,51
Arlene,Klusman,3 Secor Rd,arlene_klusman@gmail.com,1970-11-28,Native American,Bachelor's,51
Alease,Buemi,4 Webbs Chapel Rd,alease@buemi.com,1990-02-22,Black,Associate,31
Louisa,Cronauer,524 Louisiana Ave Nw,louisa@cronauer.com,1971-07-19,Unknown,High School,50
Angella,Cetta,185 Blackstone Bldge,angella.cetta@hotmail.com,2002-10-13,Black,Bachelor's,19
Cyndy,Goldammer,170 Wyoming Ave,cgoldammer@cox.net,1969-07-15,Asian,Associate,52
Rosio,Cork,4 10th St W,rosio.cork@gmail.com,1982-07-03,Native American,Associate,39
Celeste,Korando,7 W Pinhook Rd,ckorando@hotmail.com,1962-08-01,Asian,Doctorate,59
Twana,Felger,1 Commerce Way,twana.felger@felger.org,1992-08-17,Asian,Master's,29
Estrella,Samu,64 Lakeview Ave,estrella@aol.com,2000-03-26,Asian,Master's,21
Donte,Kines,3 Aspen St,dkines@hotmail.com,2001-03-02,Unknown,Associate,20
Tiffiny,Steffensmeier,32860 Sierra Rd,tiffiny_steffensmeier@cox.net,2000-06-27,Black,Associate,21
Edna,Miceli,555 Main St,emiceli@miceli.org,1999-05-01,Unknown,Master's,22
Sue,Kownacki,2 Se 3rd Ave,sue@aol.com,1973-06-23,Native American,Doctorate,48
Jesusa,Shin,2239 Shawnee Mission Pky,jshin@shin.com,1964-07-24,White,Bachelor's,57
Rolland,Francescon,2726 Charcot Ave,rolland@cox.net,1969-11-18,Asian,Bachelor's,52
Pamella,Schmierer,5161 Dorsett Rd,pamella.schmierer@schmierer.org,1966-11-25,Unknown,Associate,55
Glory,Kulzer,55892 Jacksonville Rd,gkulzer@kulzer.org,1994-09-21,Asian,High School,27
Shawna,Palaspas,5 N Cleveland Massillon Rd,shawna_palaspas@palaspas.org,1962-08-12,Unknown,Master's,59
Brandon,Callaro,7 Benton Dr,brandon_callaro@hotmail.com,1973-05-10,Unknown,Master's,48
Scarlet,Cartan,9390 S Howell Ave,scarlet.cartan@yahoo.com,1975-09-24,Unknown,High School,46
Oretha,Menter,8 County Center Dr #647,oretha_menter@yahoo.com,1994-03-30,Asian,High School,27
Ty,Smith,4646 Kaahumanu St,tsmith@aol.com,1984-12-18,Black,Associate,37
Xuan,Rochin,2 Monroe St,xuan@gmail.com,1967-08-18,White,High School,54
Lindsey,Dilello,52777 Leaders Heights Rd,lindsey.dilello@hotmail.com,1978-06-21,Black,Master's,43
Devora,Perez,72868 Blackington Ave,devora_perez@perez.org,1994-08-23,White,Associate,27
Herman,Demesa,9 Norristown Rd,hdemesa@cox.net,1997-05-02,Black,High School,24
Rory,Papasergi,83 County Road 437 #8581,rpapasergi@cox.net,1993-08-30,Unknown,High School,28
Talia,Riopelle,1 N Harlem Ave #9,talia_riopelle@aol.com,1992-06-04,Black,High School,29
Van,Shire,90131 J St,van.shire@shire.com,1983-06-09,Asian,Associate,38
Lucina,Lary,8597 W National Ave,lucina_lary@cox.net,1965-07-09,Unknown,Bachelor's,56
Bok,Isaacs,6 Gilson St,bok.isaacs@aol.com,1971-07-03,Native American,Associate,50
Rolande,Spickerman,65 W Maple Ave,rolande.spickerman@spickerman.com,2001-10-13,Unknown,Doctorate,20
Howard,Paulas,866 34th Ave,hpaulas@gmail.com,1990-11-16,Native American,Associate,31
Kimbery,Madarang,798 Lund Farm Way,kimbery_madarang@cox.net,1998-11-23,Native American,Master's,23
Thurman,Manno,9387 Charcot Ave,thurman.manno@yahoo.com,1962-04-23,Black,Associate,59
Becky,Mirafuentes,30553 Washington Rd,becky.mirafuentes@mirafuentes.com,1962-04-15,White,Doctorate,59
Beatriz,Corrington,481 W Lemon St,beatriz@yahoo.com,1995-09-24,Unknown,Doctorate,26
Marti,Maybury,4 Warehouse Point Rd #7,marti.maybury@yahoo.com,1964-12-28,White,Master's,57
Nieves,Gotter,4940 Pulaski Park Dr,nieves_gotter@gmail.com,1990-01-07,Black,Associate,31
Leatha,Hagele,627 Walford Ave,lhagele@cox.net,1984-12-22,White,Associate,37
Valentin,Klimek,137 Pioneer Way,vklimek@klimek.org,1971-05-25,Black,Bachelor's,50
Melissa,Wiklund,61 13 Stoneridge #835,melissa@cox.net,1966-08-16,Asian,Bachelor's,55
Sheridan,Zane,2409 Alabama Rd,sheridan.zane@zane.com,1995-02-09,White,Bachelor's,26
Bulah,Padilla,8927 Vandever Ave,bulah_padilla@hotmail.com,1997-02-07,Asian,Master's,24
Audra,Kohnert,134 Lewis Rd,audra@kohnert.com,1976-07-17,White,Bachelor's,45
Daren,Weirather,9 N College Ave #3,dweirather@aol.com,1992-02-27,Native American,Bachelor's,29
Fernanda,Jillson,60480 Old Us Highway 51,fjillson@aol.com,1979-09-23,White,Associate,42
Gearldine,Gellinger,4 Bloomfield Ave,gearldine_gellinger@gellinger.com,1961-06-06,Native American,Doctorate,60
Chau,Kitzman,429 Tiger Ln,chau@gmail.com,1998-03-28,White,High School,23
Theola,Frey,54169 N Main St,theola_frey@frey.com,1981-02-13,White,Associate,40
Cheryl,Haroldson,92 Main St,cheryl@haroldson.org,1985-07-28,Unknown,Bachelor's,36
Laticia,Merced,72 Mannix Dr,lmerced@gmail.com,1999-03-08,Asian,High School,22
Carissa,Batman,12270 Caton Center Dr,carissa.batman@yahoo.com,1983-04-04,Native American,High School,38
Lezlie,Craghead,749 W 18th St #45,lezlie.craghead@craghead.org,1962-02-01,Native American,Bachelor's,59
Ozell,Shealy,8 Industry Ln,oshealy@hotmail.com,1981-12-01,Asian,Doctorate,40
Arminda,Parvis,1 Huntwood Ave,arminda@parvis.com,1971-12-02,Black,Bachelor's,50
Reita,Leto,55262 N French Rd,reita.leto@gmail.com,1998-02-21,Asian,Doctorate,23
Yolando,Luczki,422 E 21st St,yolando@cox.net,1973-03-03,Unknown,Doctorate,48
Lizette,Stem,501 N 19th Ave,lizette.stem@aol.com,1984-01-09,Asian,High School,37
Gregoria,Pawlowicz,455 N Main Ave,gpawlowicz@yahoo.com,1966-08-16,Asian,Bachelor's,55
Carin,Deleo,1844 Southern Blvd,cdeleo@deleo.com,1974-04-09,Asian,Master's,47
Chantell,Maynerich,2023 Greg St,chantell@yahoo.com,1996-12-04,White,Bachelor's,25
Dierdre,Yum,63381 Jenks Ave,dyum@yahoo.com,1972-10-25,Asian,Master's,49
Larae,Gudroe,6651 Municipal Rd,larae_gudroe@gmail.com,1990-06-01,Unknown,Associate,31
Latrice,Tolfree,81 Norris Ave #525,latrice.tolfree@hotmail.com,1973-09-08,Native American,High School,48
Kerry,Theodorov,6916 W Main St,kerry.theodorov@gmail.com,1968-08-26,Asian,Bachelor's,53
Dorthy,Hidvegi,9635 S Main St,dhidvegi@yahoo.com,1982-09-25,Asian,High School,39
Fannie,Lungren,17 Us Highway 111,fannie.lungren@yahoo.com,1969-10-14,Black,High School,52
Evangelina,Radde,992 Civic Center Dr,evangelina@aol.com,1962-05-28,Native American,Master's,59
Novella,Degroot,303 N Radcliffe St,novella_degroot@degroot.org,1962-06-19,Black,Doctorate,59
Clay,Hoa,73 Saint Ann St #86,choa@hoa.org,1982-01-19,Native American,Doctorate,39
Jennifer,Fallick,44 58th St,jfallick@yahoo.com,1987-04-03,Asian,High School,34
Irma,Wolfgramm,9745 W Main St,irma.wolfgramm@hotmail.com,1999-04-24,White,Associate,22
Eun,Coody,84 Bloomfield Ave,eun@yahoo.com,1982-07-04,White,Doctorate,39
Sylvia,Cousey,287 Youngstown Warren Rd,sylvia_cousey@cousey.org,1978-04-17,Black,Bachelor's,43
Nana,Wrinkles,6 Van Buren St,nana@aol.com,1980-04-03,Unknown,Doctorate,41
Layla,Springe,229 N Forty Driv,layla.springe@cox.net,1998-09-23,Black,Master's,23
Joesph,Degonia,2887 Knowlton St #5435,joesph_degonia@degonia.org,1982-06-15,Native American,Bachelor's,39
Annabelle,Boord,523 Marquette Ave,annabelle.boord@cox.net,1982-12-05,Asian,Bachelor's,39
Stephaine,Vinning,3717 Hamann Industrial Pky,stephaine@cox.net,2000-07-07,Black,Associate,21
Nelida,Sawchuk,3 State Route 35 S,nelida@gmail.com,1985-07-14,White,High School,36
Marguerita,Hiatt,82 N Highway 67,marguerita.hiatt@gmail.com,1966-05-31,Native American,Master's,55
Carmela,Cookey,9 Murfreesboro Rd,ccookey@cookey.org,1963-03-25,Native American,Master's,58
Junita,Brideau,6 S Broadway St,jbrideau@aol.com,1977-02-16,Unknown,Bachelor's,44
Claribel,Varriano,6 Harry L Dr #6327,claribel_varriano@cox.net,1997-08-08,Asian,High School,24
Benton,Skursky,47939 Porter Ave,benton.skursky@aol.com,1961-05-22,Native American,Doctorate,60
Hillary,Skulski,9 Wales Rd Ne #914,hillary.skulski@aol.com,1992-01-10,Unknown,Doctorate,29
Merilyn,Bayless,195 13n N,merilyn_bayless@cox.net,1987-08-17,Native American,Master's,34
Teri,Ennaco,99 Tank Farm Rd,tennaco@gmail.com,1986-05-14,Native American,Master's,35
Merlyn,Lawler,4671 Alemany Blvd,merlyn_lawler@hotmail.com,1991-07-20,White,Doctorate,30
Georgene,Montezuma,98 University Dr,gmontezuma@cox.net,1990-11-24,White,Doctorate,31
Jettie,Mconnell,50 E Wacker Dr,jmconnell@hotmail.com,1964-09-29,White,Master's,57
Lemuel,Latzke,70 Euclid Ave #722,lemuel.latzke@gmail.com,1989-08-10,White,Associate,32
Melodie,Knipp,326 E Main St #6496,mknipp@gmail.com,1962-12-31,Asian,Associate,59
Candida,Corbley,406 Main St,candida_corbley@hotmail.com,1961-04-21,Asian,Doctorate,60
Karan,Karpin,3 Elmwood Dr,karan_karpin@gmail.com,1988-12-23,Unknown,Associate,33
Andra,Scheyer,9 Church St,andra@gmail.com,1970-07-02,Asian,Master's,51
Felicidad,Poullion,9939 N 14th St,fpoullion@poullion.com,1963-11-01,Unknown,Master's,58
Belen,Strassner,5384 Southwyck Blvd,belen_strassner@aol.com,1998-06-30,Native American,Associate,23
Gracia,Melnyk,97 Airport Loop Dr,gracia@melnyk.com,1995-03-25,White,Bachelor's,26
Jolanda,Hanafan,37855 Nolan Rd,jhanafan@gmail.com,2002-03-07,White,Doctorate,19
Barrett,Toyama,4252 N Washington Ave #9,barrett.toyama@toyama.org,1967-07-20,Asian,Bachelor's,54
Helga,Fredicks,42754 S Ash Ave,helga_fredicks@yahoo.com,1980-04-16,Black,High School,41
Ashlyn,Pinilla,703 Beville Rd,apinilla@cox.net,1999-07-02,Unknown,Bachelor's,22
Fausto,Agramonte,5 Harrison Rd,fausto_agramonte@yahoo.com,1974-12-14,Asian,Master's,47
Ronny,Caiafa,73 Southern Blvd,ronny.caiafa@caiafa.org,1997-12-15,Unknown,Doctorate,24
Marge,Limmel,189 Village Park Rd,marge@gmail.com,1971-02-02,White,Bachelor's,50
Norah,Waymire,6 Middlegate Rd #106,norah.waymire@gmail.com,1977-02-16,Asian,Doctorate,44
Aliza,Baltimore,1128 Delaware St,aliza@aol.com,1988-03-11,Black,Bachelor's,33
Mozell,Pelkowski,577 Parade St,mpelkowski@pelkowski.org,1991-08-26,White,High School,30
Viola,Bitsuie,70 Mechanic St,viola@gmail.com,1961-10-17,Black,Master's,60
Franklyn,Emard,4379 Highway 116,femard@emard.com,1964-03-23,Unknown,High School,57
Willodean,Konopacki,55 Hawthorne Blvd,willodean_konopacki@konopacki.org,2001-11-22,White,Bachelor's,20
Beckie,Silvestrini,7116 Western Ave,beckie.silvestrini@silvestrini.com,1961-02-07,Black,Doctorate,60
Rebecka,Gesick,2026 N Plankinton Ave #3,rgesick@gesick.org,1990-06-24,White,Bachelor's,31
Frederica,Blunk,99586 Main St,frederica_blunk@gmail.com,1979-02-21,White,Doctorate,42
Glen,Bartolet,8739 Hudson St,glen_bartolet@hotmail.com,1985-11-02,Asian,Bachelor's,36
Freeman,Gochal,383 Gunderman Rd #197,freeman_gochal@aol.com,1975-12-03,White,Bachelor's,46
Vincent,Meinerding,4441 Point Term Mkt,vincent.meinerding@hotmail.com,2000-07-19,Asian,High School,21
Rima,Bevelacqua,2972 Lafayette Ave,rima@cox.net,1978-10-30,Native American,Master's,43
Glendora,Sarbacher,2140 Diamond Blvd,gsarbacher@gmail.com,1964-07-21,Black,High School,57
Avery,Steier,93 Redmond Rd #492,avery@cox.net,1967-06-08,White,Master's,54
Cristy,Lother,3989 Portage Tr,cristy@lother.com,2000-12-13,White,Doctorate,21
Nicolette,Brossart,1 Midway Rd,nicolette_brossart@brossart.com,1983-06-23,White,Associate,38
Tracey,Modzelewski,77132 Coon Rapids Blvd Nw,tracey@hotmail.com,1986-11-23,White,Associate,35
Virgina,Tegarden,755 Harbor Way,virgina_tegarden@tegarden.com,1979-10-16,Black,Master's,42
Tiera,Frankel,87 Sierra Rd,tfrankel@aol.com,1979-02-23,Unknown,Bachelor's,42
Alaine,Bergesen,7667 S Hulen St #42,alaine_bergesen@cox.net,1965-08-08,Black,Doctorate,56
Earleen,Mai,75684 S Withlapopka Dr #32,earleen_mai@cox.net,1989-12-02,Native American,Bachelor's,32
Leonida,Gobern,5 Elmwood Park Blvd,leonida@gobern.org,2000-07-29,White,High School,21
Ressie,Auffrey,23 Palo Alto Sq,ressie.auffrey@yahoo.com,1999-12-18,Unknown,Doctorate,22
Justine,Mugnolo,38062 E Main St,jmugnolo@yahoo.com,1983-01-01,Asian,High School,38
Eladia,Saulter,3958 S Dupont Hwy #7,eladia@saulter.com,1975-07-05,Black,Associate,46
Chaya,Malvin,560 Civic Center Dr,chaya@malvin.com,2002-11-04,Native American,Bachelor's,19
Gwenn,Suffield,3270 Dequindre Rd,gwenn_suffield@suffield.org,1996-03-17,White,High School,25
Salena,Karpel,1 Garfield Ave #7,skarpel@cox.net,1989-08-08,Native American,Bachelor's,32
Yoko,Fishburne,9122 Carpenter Ave,yoko@fishburne.com,1972-12-01,Black,Doctorate,49
Taryn,Moyd,48 Lenox St,taryn.moyd@hotmail.com,1999-07-26,Native American,Doctorate,22
Katina,Polidori,5 Little River Tpke,katina_polidori@aol.com,1969-09-12,Black,Doctorate,52
Rickie,Plumer,3 N Groesbeck Hwy,rickie.plumer@aol.com,1962-07-22,Asian,Associate,59
Alex,Loader,37 N Elm St #916,alex@loader.com,1973-07-16,Black,Bachelor's,48
Lashon,Vizarro,433 Westminster Blvd #590,lashon@aol.com,1987-07-29,White,Associate,34
Lauran,Burnard,66697 Park Pl #3224,lburnard@burnard.com,1987-09-01,Black,High School,34
Ceola,Setter,96263 Greenwood Pl,ceola.setter@setter.org,1974-09-21,White,High School,47
My,Rantanen,8 Mcarthur Ln,my@hotmail.com,1994-02-09,Asian,Bachelor's,27
Lorrine,Worlds,8 Fair Lawn Ave,lorrine.worlds@worlds.com,1961-03-08,Unknown,High School,60
Peggie,Sturiale,9 N 14th St,peggie@cox.net,1991-07-28,Unknown,Doctorate,30
Marvel,Raymo,9 Vanowen St,mraymo@yahoo.com,1995-09-30,Native American,High School,26
Daron,Dinos,18 Waterloo Geneva Rd,daron_dinos@cox.net,1963-10-15,Black,High School,58
An,Fritz,506 S Hacienda Dr,an_fritz@hotmail.com,1998-12-29,White,High School,23
Portia,Stimmel,3732 Sherman Ave,portia.stimmel@aol.com,1982-10-07,Unknown,Associate,39
Rhea,Aredondo,25657 Live Oak St,rhea_aredondo@cox.net,1986-06-22,Native American,High School,35
Benedict,Sama,4923 Carey Ave,bsama@cox.net,1979-06-06,White,High School,42
Alyce,Arias,3196 S Rider Trl,alyce@arias.org,2000-01-12,Native American,Bachelor's,21
Heike,Berganza,3 Railway Ave #75,heike@gmail.com,1994-06-28,Asian,Associate,27
Carey,Dopico,87393 E Highland Rd,carey_dopico@dopico.org,1979-12-27,White,High School,42
Dottie,Hellickson,67 E Chestnut Hill Rd,dottie@hellickson.org,1989-12-29,Black,Associate,32
Deandrea,Hughey,33 Lewis Rd #46,deandrea@yahoo.com,1975-01-23,Asian,Associate,46
Kimberlie,Duenas,8100 Jacksonville Rd #7,kimberlie_duenas@yahoo.com,1991-03-23,Asian,Doctorate,30
Martina,Staback,7 W Wabansia Ave #227,martina_staback@staback.com,2000-04-03,White,Doctorate,21
Skye,Fillingim,25 Minters Chapel Rd #9,skye_fillingim@yahoo.com,1994-11-04,Asian,Associate,27
Jade,Farrar,6882 Torresdale Ave,jade.farrar@yahoo.com,1970-07-03,Unknown,Bachelor's,51
Charlene,Hamilton,985 E 6th Ave,charlene.hamilton@hotmail.com,2002-07-29,Black,Bachelor's,19
Geoffrey,Acey,7 West Ave #1,geoffrey@gmail.com,1972-11-25,Black,Doctorate,49
Stevie,Westerbeck,26659 N 13th St,stevie.westerbeck@yahoo.com,1973-05-03,Asian,High School,48
Pamella,Fortino,669 Packerland Dr #1438,pamella@fortino.com,1968-07-27,Native American,Associate,53
Harrison,Haufler,759 Eldora St,hhaufler@hotmail.com,1997-03-27,White,Bachelor's,24
Johnna,Engelberg,5 S Colorado Blvd #449,jengelberg@engelberg.org,1981-05-31,Native American,High School,40
Buddy,Cloney,944 Gaither Dr,buddy.cloney@yahoo.com,1971-12-09,Unknown,Master's,50
Dalene,Riden,66552 Malone Rd,dalene.riden@aol.com,1983-04-22,Black,Master's,38
Jerry,Zurcher,77 Massillon Rd #822,jzurcher@zurcher.org,1970-04-25,Asian,Associate,51
Haydee,Denooyer,25346 New Rd,hdenooyer@denooyer.org,1962-07-29,White,Master's,59
Joseph,Cryer,60 Fillmore Ave,joseph_cryer@cox.net,1969-08-07,White,Doctorate,52
Deonna,Kippley,57 Haven Ave #90,deonna_kippley@hotmail.com,1967-07-02,White,Master's,54
Raymon,Calvaresi,6538 E Pomona St #60,raymon.calvaresi@gmail.com,1967-03-27,Unknown,Associate,54
Alecia,Bubash,6535 Joyce St,alecia@aol.com,1964-08-23,Asian,Master's,57
